Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Dec 8 2004,7:00p,Minnesota Timberwolves,119,Philadelphia 76ers,84,Box Score,,16393,
Wed Dec 8 2004,7:00p,DEN,111,Washington Wizards,105,Box Score,,16080,
Wed Dec 8 2004,7:30p,Memphis Grizzlies,97,Atlanta Hawks,89,Box Score,,7271,
Wed Dec 8 2004,7:30p,Toronto Raptors,86,Detroit Pistons,90,Box Score,OT,22076,
Wed Dec 8 2004,8:00p,Miami Heat,101,Milwaukee Bucks,96,Box Score,,15632,
Wed Dec 8 2004,8:00p,New York Knicks,86,New Orleans Hornets,79,Box Score,,12542,
Wed Dec 8 2004,8:30p,Cleveland Cavaliers,85,Chicago Bulls,113,Box Score,,15374,
Wed Dec 8 2004,8:30p,SEA,102,San Antonio Spurs,96,Box Score,,18797,
Wed Dec 8 2004,9:00p,Orlando Magic,106,Utah Jazz,100,Box Score,,17513,
Wed Dec 8 2004,10:30p,Phoenix Suns,113,Los Angeles Lakers,110,Box Score,,18997,
Thu Dec 9 2004,8:00p,San Antonio Spurs,80,Houston Rockets,81,Box Score,,16170,
Thu Dec 9 2004,8:30p,SEA,107,Dallas Mavericks,102,Box Score,,19733,
Thu Dec 9 2004,10:30p,Boston Celtics,87,POR,89,Box Score,,15531,
Fri Dec 10 2004,7:00p,DEN,101,Toronto Raptors,87,Box Score,,17197,
Fri Dec 10 2004,7:00p,New York Knicks,104,Washington Wizards,106,Box Score,,16702,
Fri Dec 10 2004,7:30p,Memphis Grizzlies,84,Miami Heat,92,Box Score,,19600,
Fri Dec 10 2004,7:30p,New Orleans Hornets,91,New Jersey Nets,94,Box Score,OT,13478,
Fri Dec 10 2004,8:00p,Philadelphia 76ers,93,Chicago Bulls,88,Box Score,,20823,
